# Captured 2020-02-08
# rtings.com list of all headphones.
# used in project deltaEQ

1More Piston Classic|headphones/1more/piston-classic
Sennheiser HD 650|headphones/sennheiser/hd-650
Sennheiser HD 660 S|headphones/sennheiser/hd-660-s
Sennheiser HD 700|headphones/sennheiser/hd-700
Sennheiser HD 800 S|headphones/sennheiser/hd-800-s
Sennheiser Momentum 2.0|headphones/sennheiser/momentum-2-0
Sennheiser Momentum 2.0 Wireless|headphones/sennheiser/momentum-2-0-wireless
Sennheiser Momentum 2.0 On-Ear|headphones/sennheiser/momentum-2-0-on-ear
Sennheiser Momentum In-Ear|headphones/sennheiser/momentum-in-ear
Sennheiser MM 450-X|headphones/sennheiser/mm-450-x
Sennheiser MM 550-X|headphones/sennheiser/mm-550-x
Sennheiser PXC 250 II|headphones/sennheiser/pxc-250-ii
Sennheiser PXC 450|headphones/sennheiser/pxc-450
Sennheiser PXC 550 Wireless|headphones/sennheiser/pxc-550-wireless
Sennheiser PXC 550-II Wireless|headphones/sennheiser/pxc-550-ii-wireless
Sennheiser RS 165|headphones/sennheiser/rs-165
Sennheiser RS 175|headphones/sennheiser/rs-175
Sennheiser RS 185|headphones/sennheiser/rs-185
Sennheiser RS 195|headphones/sennheiser/rs-195
Sennheiser AMBEO Smart Headset|headphones/sennheiser/ambeo-smart-headset
Sennheiser HD 820|headphones/sennheiser/hd-820
Sennheiser Momentum True Wireless|headphones/sennheiser/momentum-true-wireless
Sennheiser HD 4.40|headphones/sennheiser/hd-4-40
Sennheiser IE 40 PRO|headphones/sennheiser/ie-40-pro
Sennheiser HD 58X Jubilee|headphones/sennheiser/hd-58x-jubilee
Sennheiser Momentum 3 Wireless|headphones/sennheiser/momentum-3-wireless
Shure SE315|headphones/shure/se315
Shure SE425|headphones/shure/se425
Shure SRH240A|headphones/shure/srh240a
Shure SRH440|headphones/shure/srh440
Shure SE215|headphones/shure/se215
Skullcandy Crusher|headphones/skullcandy/crusher
Skullcandy Grind|headphones/skullcandy/grind
Skullcandy Hesh 2|headphones/skullcandy/hesh-2
Skullcandy Hesh 3|headphones/skullcandy/hesh-3
Skullcandy Jib|headphones/skullcandy/jib
Skullcandy Crusher Wireless|headphones/skullcandy/crusher-wireless
Skullcandy Crusher 360|headphones/skullcandy/crusher-360
Skullcandy Venue|headphones/skullcandy/venue
Skullcandy Push|headphones/skullcandy/push
Skullcandy Indy|headphones/skullcandy/indy
Skullcandy Sesh|headphones/skullcandy/sesh
Sony MDR-1A|headphones/sony/mdr-1a
Sony MDR-100AAP|headphones/sony/mdr-100aap
Sony MDR-1000X|headphones/sony/mdr-1000x
Sony MDR-7506|headphones/sony/mdr-7506
Sony MDR-NC8|headphones/sony/mdr-nc8
Sony MDR-XB50AP|headphones/sony/mdr-xb50ap
Sony MDR-XB950B1|headphones/sony/mdr-xb950b1
Sony MDR-XB950N1|headphones/sony/mdr-xb950n1
Sony MDR-ZX110NC|headphones/sony/mdr-zx110nc
Sony MDR-ZX550BN|headphones/sony/mdr-zx550bn
Sony MDR-ZX770BN|headphones/sony/mdr-zx770bn
Sony WH-1000XM2|headphones/sony/wh-1000xm2
Sony WF-1000X|headphones/sony/wf-1000x
Sony WI-C400|headphones/sony/wi-c400
Sony WH-H900N|headphones/sony/wh-h900n
Sony WI-C300|headphones/sony/wi-c300
Sony WH-CH700N|headphones/sony/wh-ch700n
Sony WF-SP700N|headphones/sony/wf-sp700n
Sony WI-SP500|headphones/sony/wi-sp500
Sony WH-1000XM3|headphones/sony/wh-1000xm3
Sony MDR-7520|headphones/sony/mdr-7520
Sony WI-SP600N|headphones/sony/wi-sp600n
Sony WI-1000X|headphones/sony/wi-1000x
Sony WH-CH500|headphones/sony/wh-ch500
Sony WH-CH400|headphones/sony/wh-ch400
Sony WI-C600N|headphones/sony/wi-c600n
Sony WH-XB700|headphones/sony/wh-xb700
Sony WH-XB900N|headphones/sony/wh-xb900n
Sony WI-C310|headphones/sony/wi-c310
Sony WI-C200|headphones/sony/wi-c200
